,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
6275,0.11174125671386718,0.0010855111702623432,0.10469379425048828,0.0007412498362796219,gini,50,20,5,20,10,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 10}",-0.21739130434782608,-0.17391304347826086,-0.21739130434782608,-0.2857142857142857,-0.23809523809523808,-0.22650103519668735,0.03625494681548245,2546,-0.09090909090909091,-0.13636363636363635,-0.10227272727272728,-0.1,-0.16666666666666666,-0.11924242424242423,0.02829563202248506
6276,0.18734302520751953,0.016970177827191884,0.1039912223815918,0.0009241280219424759,gini,50,20,5,20,100,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100}",-0.2608695652173913,-0.21739130434782608,-0.2608695652173913,-0.23809523809523808,-0.19047619047619047,-0.23354037267080746,0.02694376560662102,2900,-0.09090909090909091,-0.11363636363636363,-0.10227272727272728,-0.08888888888888889,-0.1,-0.09914141414141416,0.008871654550523831
6277,0.375032377243042,0.02561775241192604,0.10345244407653809,0.0006510063899281615,gini,50,20,5,20,250,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 250}",-0.2608695652173913,-0.21739130434782608,-0.2608695652173913,-0.23809523809523808,-0.19047619047619047,-0.23354037267080746,0.02694376560662102,2900,-0.09090909090909091,-0.11363636363636363,-0.125,-0.1,-0.08888888888888889,-0.10368686868686869,0.013777422312426272
6278,0.6954060554504394,0.05569260971898371,0.10430445671081542,0.0005231114785758104,gini,50,20,5,20,500,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 500}",-0.2608695652173913,-0.21739130434782608,-0.2608695652173913,-0.23809523809523808,-0.19047619047619047,-0.23354037267080746,0.02694376560662102,2900,-0.07954545454545454,-0.11363636363636363,-0.125,-0.08888888888888889,-0.08888888888888889,-0.09919191919191919,0.01716384252001968
6279,1.4614081382751465,0.04653596501611641,0.2063748359680176,0.001948686450213347,gini,50,20,5,20,1000,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 1000}",-0.2608695652173913,-0.21739130434782608,-0.2608695652173913,-0.23809523809523808,-0.19047619047619047,-0.23354037267080746,0.02694376560662102,2900,-0.06818181818181818,-0.10227272727272728,-0.10227272727272728,-0.08888888888888889,-0.08888888888888889,-0.09010101010101011,0.012487520553517952
6280,0.1111363410949707,0.00039975647068324946,0.10434012413024903,0.0004895510730258258,gini,50,20,10,2,10,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}",-0.2608695652173913,-0.21739130434782608,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2525879917184265,0.02316621239039232,6265,-0.1590909090909091,-0.17045454545454544,-0.14772727272727273,-0.13333333333333333,-0.17777777777777778,-0.1576767676767677,0.01588028496810744
6281,0.19688735008239747,0.010481908931099385,0.10594887733459472,0.0027480041875121443,gini,50,20,10,2,100,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.13636363636363635,-0.17045454545454544,-0.13636363636363635,-0.14444444444444443,-0.13333333333333333,-0.14419191919191915,0.013640104238172125
6282,0.4318823337554932,0.007294602568468128,0.10379495620727539,0.0006451114317151679,gini,50,20,10,2,250,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 250}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.14772727272727273,-0.20454545454545456,-0.18181818181818182,-0.13333333333333333,-0.14444444444444443,-0.16237373737373736,0.026592719632932773
6283,0.7285114765167237,0.03354315378305654,0.10476694107055665,0.000756907288467229,gini,50,20,10,2,500,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 500}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2612836438923395,0.015067002400546791,6686,-0.14772727272727273,-0.20454545454545456,-0.17045454545454544,-0.15555555555555556,-0.12222222222222222,-0.1601010101010101,0.02717012124035313
6284,1.3789326190948485,0.017776616983712044,0.20514073371887206,0.0008762487546329873,gini,50,20,10,2,1000,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1000}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2612836438923395,0.015067002400546791,6686,-0.13636363636363635,-0.19318181818181818,-0.17045454545454544,-0.15555555555555556,-0.1111111111111111,-0.15333333333333332,0.02813063307304144
6285,0.11216325759887695,0.0009467484205193692,0.10439491271972656,0.0005568477098424823,gini,50,20,10,5,10,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 10}",-0.2608695652173913,-0.21739130434782608,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2525879917184265,0.02316621239039232,6265,-0.1590909090909091,-0.17045454545454544,-0.14772727272727273,-0.13333333333333333,-0.17777777777777778,-0.1576767676767677,0.01588028496810744
6286,0.18735313415527344,0.013487481993459761,0.1046445369720459,0.0012490008050583133,gini,50,20,10,5,100,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.13636363636363635,-0.17045454545454544,-0.13636363636363635,-0.14444444444444443,-0.13333333333333333,-0.14419191919191915,0.013640104238172125
6287,0.38572168350219727,0.027510174833732793,0.10354080200195312,0.0007996082661353629,gini,50,20,10,5,250,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 250}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.14772727272727273,-0.20454545454545456,-0.18181818181818182,-0.13333333333333333,-0.14444444444444443,-0.16237373737373736,0.026592719632932773
6288,0.667076826095581,0.06359734497876035,0.10509858131408692,0.0014604816815154509,gini,50,20,10,5,500,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 500}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2612836438923395,0.015067002400546791,6686,-0.14772727272727273,-0.20454545454545456,-0.17045454545454544,-0.15555555555555556,-0.12222222222222222,-0.1601010101010101,0.02717012124035313
6289,1.3809232234954834,0.054709076540150205,0.2053243637084961,0.0005039499566829216,gini,50,20,10,5,1000,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1000}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2612836438923395,0.015067002400546791,6686,-0.13636363636363635,-0.19318181818181818,-0.17045454545454544,-0.15555555555555556,-0.1111111111111111,-0.15333333333333332,0.02813063307304144
6290,0.11237311363220215,0.00046294498690257146,0.10452861785888672,0.000803790402374025,gini,50,20,10,10,10,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 10}",-0.2608695652173913,-0.21739130434782608,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2525879917184265,0.02316621239039232,6265,-0.1590909090909091,-0.17045454545454544,-0.14772727272727273,-0.13333333333333333,-0.17777777777777778,-0.1576767676767677,0.01588028496810744
6291,0.19197216033935546,0.01745942184581744,0.10378017425537109,0.0003978320338028105,gini,50,20,10,10,100,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.13636363636363635,-0.17045454545454544,-0.13636363636363635,-0.14444444444444443,-0.13333333333333333,-0.14419191919191915,0.013640104238172125
6292,0.3923782825469971,0.02839057687998733,0.10325803756713867,0.000366234797207097,gini,50,20,10,10,250,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 250}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.14772727272727273,-0.20454545454545456,-0.18181818181818182,-0.13333333333333333,-0.14444444444444443,-0.16237373737373736,0.026592719632932773
6293,0.6724365711212158,0.04376865545051311,0.10444178581237792,0.0015491759340201447,gini,50,20,10,10,500,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 500}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2612836438923395,0.015067002400546791,6686,-0.14772727272727273,-0.20454545454545456,-0.17045454545454544,-0.15555555555555556,-0.12222222222222222,-0.1601010101010101,0.02717012124035313
6294,1.3996485710144042,0.05953714268268213,0.20489020347595216,0.0009020383787482424,gini,50,20,10,10,1000,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 1000}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2612836438923395,0.015067002400546791,6686,-0.13636363636363635,-0.19318181818181818,-0.17045454545454544,-0.15555555555555556,-0.1111111111111111,-0.15333333333333332,0.02813063307304144
